JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT
2024;MÄRZ;1075;Reichsbrücke;B;8;Leopoldstadt;Kfz;16758;18451;17714;18884;18000;13951;12453;20269;*Di,19.03.
2024;MÄRZ;1075;Reichsbrücke;B;8;Leopoldstadt;LkwÄ;640;768;763;796;704;389;354;877;*Mi,20.03.
2024;MÄRZ;1075;Reichsbrücke;B;8;Donaustadt;Kfz;14099;15042;14410;15089;15435;12991;11246;16824;Fr,01.03.
2024;MÄRZ;1075;Reichsbrücke;B;8;Donaustadt;LkwÄ;572;725;773;744;642;305;196;840;Mo,18.03.
2024;MÄRZ;1075;Reichsbrücke;B;8;Gesamt;Kfz;30857;33493;32124;33973;33435;26942;23698;35826;*Fr,01.03.
2024;MÄRZ;1075;Reichsbrücke;B;8;Gesamt;LkwÄ;1212;1493;1536;1540;1347;695;550;1671;*Mi,20.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Wienzeile;Kfz;38743;39184;37752;38743;41389;40666;34967;42794;Sa,02.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Wienzeile;LkwÄ;1019;1276;1300;1304;1191;600;359;1463;Do,28.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Stadthalle;Kfz;31459;31406;30108;31047;33307;33512;29628;35485;Sa,09.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Stadthalle;LkwÄ;784;967;974;992;902;487;312;1096;Do,28.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Gesamt;Kfz;70202;70591;67860;69790;74696;74178;64595;77440;Sa,02.03.
2024;MÄRZ;1078;Westbahnhof;B;221;Gesamt;LkwÄ;1804;2244;2274;2296;2093;1087;672;2559;Do,28.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Brigittenau;Kfz;12509;13407;13204;13576;13164;11390;9857;14519;Mi,20.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Brigittenau;LkwÄ;300;393;393;422;322;135;77;490;Mi,20.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Floridsdorf;Kfz;13886;14914;14159;14916;15515;12828;10623;16098;Fr,01.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Floridsdorf;LkwÄ;331;431;441;442;396;158;88;483;Do,21.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Gesamt;Kfz;26395;28321;27363;28492;28678;24218;20480;30103;Mi,20.03.
2024;MÄRZ;1089;Floridsdorf-Br.;B;226;Gesamt;LkwÄ;631;823;834;863;718;292;165;955;Mi,20.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Brigittenau;Kfz;13508;15108;15012;15412;14455;10849;9448;16033;Di,19.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Brigittenau;LkwÄ;313;429;481;449;339;90;51;530;Mo,18.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Floridsdorf;Kfz;11130;12075;11707;12159;12166;9812;8480;12718;Fr,15.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Floridsdorf;LkwÄ;266;348;372;363;293;111;77;394;Di,19.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Gesamt;Kfz;24638;27183;26719;27572;26621;20661;17929;28479;Mi,20.03.
2024;MÄRZ;1096;Brigittenauer Brücke;B;14;Gesamt;LkwÄ;579;777;853;812;633;201;128;914;Mo,18.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Heumarkt;Kfz;19653;21216;19880;21433;21765;17899;14845;23172;Fr,01.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Heumarkt;LkwÄ;473;587;588;610;531;268;195;666;Mo,25.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Wienzeile;Kfz;12178;13490;12644;13725;13602;10554;8296;15103;Fr,08.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Wienzeile;LkwÄ;350;429;416;446;399;218;150;515;Mi,27.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Gesamt;Kfz;31832;34706;32524;35158;35367;28452;23141;37687;Fr,08.03.
2024;MÄRZ;1131;Karlsplatz;B;1;Gesamt;LkwÄ;822;1016;1005;1056;930;486;344;1141;Mi,27.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;1171-Obere Donaustr.;Kfz;24366;25386;24363;25399;26173;23819;20631;27637;Fr,08.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;1171-Obere Donaustr.;LkwÄ;706;882;913;910;790;400;272;1021;Mi,27.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;1172-Franz-Josef-Kai;Kfz;34980;37181;35779;37219;38210;32589;28129;40117;Fr,22.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;1172-Franz-Josef-Kai;LkwÄ;1425;1812;1780;1886;1658;737;489;1961;Di,19.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;Gesamt;Kfz;59346;62566;60142;62618;64383;56408;48760;66819;Fr,08.03.
2024;MÄRZ;1170;Donaukanal Straße;B;227;Gesamt;LkwÄ;2131;2694;2694;2797;2447;1137;761;2934;Mi,27.03.
2024;MÄRZ;1177;Handelskai;B;14;Klosterneuburg;Kfz;9872;10799;10526;10957;10640;8388;7462;11758;Fr,15.03.
2024;MÄRZ;1177;Handelskai;B;14;Klosterneuburg;LkwÄ;417;567;621;601;442;115;87;672;Mi,20.03.
2024;MÄRZ;1177;Handelskai;B;14;Freudenau;Kfz;11757;12901;12392;13135;12745;9929;8781;14075;Do,14.03.
2024;MÄRZ;1177;Handelskai;B;14;Freudenau;LkwÄ;543;741;786;786;599;134;117;883;Mo,18.03.
2024;MÄRZ;1177;Handelskai;B;14;Gesamt;Kfz;21629;23700;22917;24092;23385;18317;16243;25452;Do,14.03.
2024;MÄRZ;1177;Handelskai;B;14;Gesamt;LkwÄ;959;1308;1407;1386;1041;249;204;1514;Mo,18.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Zentrum;Kfz;12826;14690;14626;14784;14513;10483;7340;15419;Do,28.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Zentrum;LkwÄ;953;1289;1350;1324;1157;328;165;1413;Mo,18.03.
2024;MÄRZ;1179;Brunner Straße;B;12;Brunn am Gebirge;Kfz;17344;19331;19120;19246;19703;15338;11009;20095;Fr,22.03.
