Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
A0001,010,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΑΘΑΛΑΣΣΑΣ - ΒΙΟΜΗΧΑΝΙΚΗ ΣΤΡΟΒΟΛΟΥ,ΠΡΟΣ ΛΕΜΕΣΟ,37983,30534,21863,4947,2015,1343,366
A0002,010,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΑΘΑΛΑΣΣΑΣ - ΒΙΟΜΗΧΑΝΙΚΗ ΣΤΡΟΒΟΛΟΥ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,35304,28564,20024,5171,2141,885,343
A0003,020,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΒΙΟΜ.ΣΤΡΟΒΟΛΟΥ - ΛΑΤΣΙΑ,ΠΡΟΣ ΛΕΜΕΣΟ,40909,32991,23753,5279,2309,1320,330
A0004,020,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΒΙΟΜ.ΣΤΡΟΒΟΛΟΥ - ΛΑΤΣΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,36683,29583,20708,5325,2367,888,296
A0005,030,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΛΑΤΣΙΑ - ΑΓΙΑ ΒΑΡΒΑΡΑ,ΠΡΟΣ ΛΕΜΕΣΟ,41293,33193,23766,5377,2191,1461,398
A0006,030,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΛΑΤΣΙΑ - ΑΓΙΑ ΒΑΡΒΑΡΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,35838,28809,20627,4667,1901,1268,346
A0007,040,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΚΟΦΙΝΟΥ,ΠΡΟΣ ΛΕΜΕΣΟ,14048,10092,5692,2422,827,1050,101
A0008,040,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΚΟΦΙΝΟΥ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,14032,10287,6110,2304,710,1049,114
A0009,050,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΚΟΦΙΝΟΥ - ΠΑΡΕΚΚΛΗΣΙΑ,ΠΡΟΣ ΛΕΜΕΣΟ,23671,16883,10534,2954,1722,1469,203
A0010,050,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΚΟΦΙΝΟΥ - ΠΑΡΕΚΚΛΗΣΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,23692,16996,10589,3059,1479,1649,220
A0011,060,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΠΑΡΕΚΚΛΗΣΙΑ - ΓΕΡΜΑΣΟΓΕΙΑ,ΠΡΟΣ ΛΕΜΕΣΟ,30813,21976,13713,3845,2242,1912,264
A0012,060,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΠΑΡΕΚΚΛΗΣΙΑ - ΓΕΡΜΑΣΟΓΕΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,30145,21625,13473,3892,1881,2097,281
A0013,070,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΓΕΡΜΑΣΟΓΕΙΑ - ΜΕΣΑ ΓΕΙΤΟΝΙΑ,ΠΡΟΣ ΛΕΜΕΣΟ,30351,21648,13508,3788,2208,1883,260
A0014,070,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΓΕΡΜΑΣΟΓΕΙΑ - ΜΕΣΑ ΓΕΙΤΟΝΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,31552,22635,14102,4074,1969,2195,295
A0015,080,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΜΕΣΑ ΓΕΙΤΟΝΙΑ - ΠΟΛΕΜΙΔΙΑ,ΠΡΟΣ ΛΕΜΕΣΟ,35936,25632,15995,4486,2614,2230,307
A0016,080,ΛΕΥΚΩΣΙΑ - ΛΕΜΕΣΟΣ,ΜΕΣΑ ΓΕΙΤΟΝΙΑ - ΠΟΛΕΜΙΔΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,34107,24467,15243,4404,2129,2373,318
A0002,010,ΛΕΥΚΩΣΙΑ - ΛΑΡΝΑΚΑ,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΡΙΖΟΕΛΙΑ,ΠΡΟΣ ΛΑΡΝΑΚΑ,21090,16872,11811,2952,1350,607,152
A0003,010,ΛΕΥΚΩΣΙΑ - ΛΑΡΝΑΚΑ,ΑΓΙΑ ΒΑΡΒΑΡΑ - ΡΙΖΟΕΛΙΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,22647,17638,12152,2981,1834,529,141
A0004,020,ΛΕΥΚΩΣΙΑ - ΛΑΡΝΑΚΑ,ΡΙΖΟΕΛΙΑ - ΛΑΡΝΑΚΑ,ΠΡΟΣ ΛΑΡΝΑΚΑ,17289,13382,8109,3319,1498,241,214
A0005,020,ΛΕΥΚΩΣΙΑ - ΛΑΡΝΑΚΑ,ΡΙΖΟΕΛΙΑ - ΛΑΡΝΑΚΑ,ΠΡΟΣ ΛΕΥΚΩΣΙΑ,20925,16195,9814,4016,1814,292,260
A0003,010,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΑΕΡΟΔΡΟΜΙΟ - ΚΑΛΟ ΧΩΡΙΟ,ΠΡΟΣ ΠΑΡΑΛΙΜΝΙ,13080,10031,7613,892,582,663,280
A0004,010,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΑΕΡΟΔΡΟΜΙΟ - ΚΑΛΟ ΧΩΡΙΟ,ΠΡΟΣ ΑΕΡΟΔΡΟΜΙΟ,12660,9710,7370,864,563,640,272
A0005,020,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΚΑΛΟ ΧΩΡΙΟ - ΡΙΖΟΕΛΙΑ,ΠΡΟΣ ΠΑΡΑΛΙΜΝΙ,9783,7312,4402,1674,614,380,241
A0006,020,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΚΑΛΟ ΧΩΡΙΟ - ΡΙΖΟΕΛΙΑ,ΠΡΟΣ ΑΕΡΟΔΡΟΜΙΟ,9783,7312,4402,1674,614,380,241
A0007,030,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΡΙΖΟΕΛΙΑ - ΠΥΛΑ,ΠΡΟΣ ΠΑΡΑΛΙΜΝΙ,15355,11392,6813,2598,1037,637,307
A0008,030,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΡΙΖΟΕΛΙΑ - ΠΥΛΑ,ΠΡΟΣ ΑΕΡΟΔΡΟΜΙΟ,15865,11770,7039,2684,1071,659,318
A0009,040,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΠΥΛΑ - ΞΥΛΟΤΥΜΠΟΥ,ΠΡΟΣ ΠΑΡΑΛΙΜΝΙ,13428,9961,5956,2271,906,559,269
A0010,040,ΑΕΡΟΔΡΟΜΙΟ - ΠΑΡΑΛΙΜΝΙ,ΠΥΛΑ - ΞΥΛΟΤΥΜΠΟΥ,ΠΡΟΣ ΑΕΡΟΔΡΟΜΙΟ,13428,9961,5956,2271,906,559,269
