"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"64c42","Ahtme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Jõhvi-Tartu-Valga tee","3","3.747","59.3461037","27.40572","1: Jõhvi - Tartu | 2: Tartu - Jõhvi"
"e4d27","Are","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Tallinna-Pärnu-Ikla tee","4","107.900","58.55286","24.53154","1: Tallinn - Pärnu | 2: Pärnu - Tallinn"
"","Aruküla","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Jüri-Aruküla tee","11303","6.9","59.36222","25.00591",""
"fd5f8","Aruvalla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","25.900","59.25193","25.01453","1: Tallinn - Tartu 1 | 2: Tallinn - Tartu 2 | 3: Tartu - Tallinn 3 | 4: Tartu - Tallinn 4"
"53a99","Assamalla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Rakvere - Väike-Maarja - Vägeva tee","22","14.416","59.23606","26.26475","1: Rakvere - Väike-Maar | 2: Väike-Maarja - Rakve"
"625c0","Audru","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Pärnu-Lihula tee","60","13.100","58.42476","24.2951","1: Pärnu - Lihula | 2: Lihula - Pärnu"
"bffb6","Essu","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Põdruse-Kunda-Pada tee","20","3.876","59.43937","26.38823","1: Põdruse - Kunda | 2: Kunda - Põdruse"
"09286","Haljala","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Rakvere-Haljala tee","23","7.803","59.41948","26.28277","1: Rakvere - Haljala | 2: Haljala - Rakvere"
"","Harku","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Laagri-Harku tee","11401","3.07","59.36607","24.59234",""
"dd985","Harutee","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Ääsmäe-Haapsalu-Rohuküla tee","9","1.200","59.23943","24.47992","1: Ääsmäe - Haapsalu | 2: Haapsalu - Ääsmäe"
"a9898","Heimtali","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Võru maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","238.202","57.91517","26.81664","1: Tartu - Võru | 2: Võru - Tartu"
"acb4b","Helme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Valga maakond","Valga-Uulu tee","6","34.735","58.02704","25.82816","1: Valga - Uulu | 2: Uulu - Valga"
"2eb7f","Herjava","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne maakond","Ääsmäe-Haapsalu-Rohuküla tee","9","64.734","58.9522324","23.6584339","1: Ääsmäe - Haapsalu | 2: Haapsalu - Ääsmäe"
"","Hulja","PERIOODILINE","Aktiivne: ei ole avaandmetes","Lääne-Viru maakond","Pärnu-Rakvere-Sõmeru tee","5","167.675","59.34851","26.27104",""
"1cf12","Hüüru","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Paldiski tee","8","17.080","59.36686","24.5152912","1: Tallinn - Paldiski | 2: Paldiski - Tallinn"
