IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z05BE;677;617;8588;-0.3;18.4;15.3;899;14.4;45;-0.5;;Bordeaux Quai Souys (près Rue Bergès);Sens Entrant;;
Z06AS;389;603;7336;;;;291;;43;;;Mérignac 44 Av. de Mérignac;Sens Sortant;;
Z07AE;390;884;10008;-20.3;-0.2;3.7;477;8.3;32;-1.0;;Mérignac face 130 bis Av. de l'Yser;Sens Entrant;;
Z07AS;616;587;9233;2.8;3.9;4.9;645;8.6;27;6.2;;Mérignac face 130 bis Av. de l'Yser;Sens Sortant;;
Z07BS;590;577;7623;15.2;29.1;38.2;179;3.7;39;1.3;;Mérignac 20 Av. du Chut;Sens Sortant;;
Z09AE;476;471;7056;-6.3;9.8;5.6;377;15.3;37;0.7;;Mérignac VDO;Sens Entrant;;
Z16AE;373;487;5564;-2.4;-3.9;-0.6;;;41;-0.6;;Pessac 190 Av. Jean Jaurès;Sens Entrant;;
Z16CE;408;805;8070;-22.0;9.1;4.6;448;10.6;24;21.8;;Pessac Av. de Canejan niveau rocade;Sens Entrant;;
Z16DS;661;895;10956;-26.5;5.6;5.5;420;13.4;38;6.6;;Pessac 98 Av. de Saige;Sens Sortant;;
Z17DE;373;411;4178;-17.6;22.8;17.0;151;12.5;43;-2.6;;Talence av de Thouars (face au château);Sens Entrant;;
Z17EE;86;200;1722;;;;38;;32;;;Talence 42 Rue Lamartine;Sens Entrant;;
Z17ES;42;40;476;;;;4;;29;;;Talence 42 Rue Lamartine;Sens Sortant;;
Z19CS;661;709;9231;-0.5;0.6;6.6;727;10.0;31;5.7;;Villenave d'Ornon Rue Pierre Proud'hon;Sens Sortant;;
Z19DE;264;367;4426;-32.7;2.2;1.6;129;15.5;43;1.6;;Talence 177 chemin de Leysotte;Sens Entrant;;
Z19DS;369;533;5682;-30.7;0.7;0.4;182;6.5;36;5.6;;Talence 177 chemin de Leysotte;Sens Sortant;;
Z20AE;529;626;7594;-12.1;-4.3;-7.2;;;35;9.0;;Bordeaux 248 Av. Tassigny;Sens Entrant;;
Z21DE;342;378;4042;-18.4;-16.9;-13.4;234;28.6;;;;Le Bouscat Av. Victor Hugo;Sens Entrant;;
Z23AS;492;596;6748;-7.0;4.3;10.2;122;-10.8;39;6.3;;Eysines 126 Av. du Taillan;Sens Sortant;;
Z25BS;826;954;11112;17.7;0.3;4.8;621;2.1;32;16.2;;Bruges Blvd Parc des Expositions;Sens Sortant;;
Z29AE;593;340;4165;5.8;0.5;1.3;79;-0.5;55;3.2;;Artigues Blvd de Feydeau;Sens Entrant;;
Z29AS;139;484;3758;-39.2;14.0;16.9;67;10.4;55;3.6;;Artigues Blvd de Feydeau;Sens Sortant;;
Z29CS;575;1415;13003;-26.8;6.2;8.1;446;11.5;40;7.7;;Cenon Blvd de l'Entre-deux-Mers;Sens Sortant;;
Z30CS;322;389;5085;-25.2;-9.0;-5.3;264;-0.4;29;-1.4;;Mérignac face au 153 Av. de la Somme;Sens Sortant;;
Z30DNS;311;400;5413;-7.8;-10.0;-0.9;207;12.7;48;0.1;;Mérignac 66 Av. Pierre Mendès France;Sens Mérignac vers Pessac;;
Z32AS;514;768;7817;12.5;15.4;18.2;389;11.8;44;-3.3;;Floirac 35 Av. Gaston Cabannes;Sens Sortant;;
Z33AE;812;527;9182;15.8;-20.0;-9.9;782;-7.5;51;17.8;;Blanquefort Av. du XI Novembre;Sens Entrant;;
Z35AS;301;1016;10929;12.8;5.8;7.2;525;10.0;43;0.2;;Ambares Av. de la Libération;Sens Sortant;;
Z10CT1;664;625;9774;-5.6;-11.5;-5.8;;;;;;Bordeaux Blvd Leclerc après Thomas;Boulevards Nord > Sud;;
Z10CT3;923;876;13755;-8.0;-2.9;-2.7;;;;;;Bordeaux Blvd George V avant barr Pessac;Boulevards Sud > Nord;;
Z10CT6;408;381;4759;;;;;;;;;Bordeaux Rue de Pessac après Audeguil;Sens Sortant;;
Z10CT9;700;742;8125;-1.8;2.5;4.9;;;;;;Bordeaux Cours Galliéni après Médoquine;Sens Entrant;;
Z11CT10;1177;1310;16388;4.9;-4.4;-0.6;;;;;;Bordeaux Blvd Roosevelt après Rue Hoche;Nord > Sud;;
Z11CT13;370;390;4950;18.2;8.2;14.9;;;;;;Bordeaux Rue Brun;Boulevards > Somme;;
Z11CT17;442;351;4534;11.3;-5.7;-2.7;;;;;;Bordeaux Argonne après Bertrand de Goth;Sens Entrant;;
Z11CT9;766;841;12485;1.3;-8.9;0.2;;;;;;Talence Boulevard George V;Sud > Nord;;
Z12CT2;310;244;4232;-16.2;-22.7;-10.2;;;;;;Bordeaux Rue Malbec avant Nansouty;Sens Sortant;;
Z13CT1;499;534;9850;6.2;1.5;7.9;;;;;;Bordeaux Blvd Pierre 1er avant Hugo;Nord > Sud;;
Z13CT14;261;249;4246;7.2;7.2;12.1;;;;;;Bordeaux Ulysse Gayon;Sens Sortant;;
Z13CT18;288;281;4870;-4.5;-15.3;-2.4;;;;;;Bordeaux Rue Fondaudège;;;
Z13CT2;869;889;15222;3.8;-1.0;4.9;;;;;;Bordeaux Blvd Pierre 1er après Tivoli;Nord > Sud;;
Z13CT21;319;330;4068;-1.3;-8.0;-9.1;;;;;;Bordeaux Rue de la Course;;;
Z13CT9;438;362;5187;131.8;89.9;89.0;;;;;;Bordeaux Rue Johnston avant Arsenal;Sens Entrant;;
Z14CT11;582;624;11099;-13.8;-19.9;-9.6;;;;;;Bordeaux Blvd Godard avant Ampère;Nord > Sud;;
Z14CT12;1098;1089;16301;8.6;1.9;13.6;;;;;;Bordeaux Rue L. Faure après L. Fargue;Sens Entrant;;
Z14CT13;401;339;5925;6.4;-11.2;9.5;;;;;;Bordeaux Quai Chartrons;Nord > Sud;;
Z07BE;378;465;6103;31.5;22.8;30.5;79;;29;-14.7;;Mérignac 20 Av. du Chut;Sens Entrant;;
Z14CT15;749;834;11942;-2.2;-5.2;8.7;;;;;;Bordeaux Rue Faure;Sens Sortant;;
Z09AS;404;558;7514;-2.4;5.3;12.4;393;17.7;34;-0.5;;Mérignac VDO;Sens Sortant;;
Z14CT2;941;631;12954;13.9;-10.7;15.1;;;;;;Bordeaux Blvd Godard avant Jeanvrot;Sud > Nord;;
Z10BS;409;549;5999;-21.9;13.2;6.1;241;1.6;32;3.8;;Bordeaux Rue Bethmann Bx II;Sens Sortant;;
Z15CT11;147;250;2074;-18.3;14.4;-10.4;;;;;;Bordeaux Av. E. Counord après giratoire;Sens Sortant;;
Z12AS;131;316;3387;-43.1;0.1;1.6;187;1.7;29;2.3;;Bègles 99 cours Victor Hugo;Sens Sortant;;
