objectid,id_centrale,code_centrale,libelle_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
8560,1198,100352,VILLENEUVE LES MAGUELONE. RM116 3131,2024,Sens cumulés,compteur tournant,comptage bidirectionnel,3,7,Z,2456,2099,9,,,,,,du 25/02/2024 au 16/07/2024,142, ,UNKNOWN, ,tertiary,Villeneuve-lès-Maguelone, ,244106263
8558,1198,100352,VILLENEUVE LES MAGUELONE. RM116 3131,2024,RM116E2_RM185,compteur tournant,comptage bidirectionnel,3,7,0,1755,1479,5,120 (11h45 - 12h45),397 (17h30 - 18h30),1,66,56,du 25/02/2024 au 16/07/2024,142, ,UNKNOWN, ,tertiary,Villeneuve-lès-Maguelone, ,244106263
8559,1198,100352,VILLENEUVE LES MAGUELONE. RM116 3131,2024,RM185_RM116E2,compteur tournant,comptage bidirectionnel,3,7,1,701,620,4,117 (7h45 - 8h45),60 (13h30 - 14h30),4,73,62,du 25/02/2024 au 16/07/2024,142, ,UNKNOWN, ,tertiary,Villeneuve-lès-Maguelone, ,244106263
412,972,100457,MONTPELLIER. Boulevard de Strasbourg,2024,Palavas_Comte Melgueil,compteur feux,comptage unidirectionnel,1,9,1,573,509,,81 (8h00 - 9h00),48 (17h00 - 18h00),,,,du 01/01/2024 au 29/10/2024,302,Boulevard de Strasbourg,YES, ,secondary,Montpellier,Bande cyclable droite,370743659
8506,1195,101000,GRABELS. RM102 4017,2024,Sens cumulés,compteur tournant,comptage bidirectionnel,3,7,Z,6177,5496,63,,,,,,du 07/03/2024 au 26/07/2024,141, ,UNKNOWN, ,tertiary,Grabels, ,339007756
8505,1195,101000,GRABELS. RM102 4017,2024,RM619_RM127,compteur tournant,comptage bidirectionnel,3,7,1,3333,2975,28,591 (7h15 - 8h15),327 (17h00 - 18h00),10,78,68,du 07/03/2024 au 26/07/2024,141, ,UNKNOWN, ,tertiary,Grabels, ,339007756
8504,1195,101000,GRABELS. RM102 4017,2024,RM127_RM619,compteur tournant,comptage bidirectionnel,3,7,0,2844,2521,35,263 (8h00 - 9h00),334 (16h00 - 17h00),10,78,65,du 07/03/2024 au 26/07/2024,141, ,UNKNOWN, ,tertiary,Grabels, ,339007756
6128,9,102511,RM986 LATTES - MMT34.j,2024,Sens cumulés,compteur permanent,comptage bidirectionnel,3,12,Z,34595,32966,1145,,,,,,du 01/01/2024 au 03/11/2024,307, ,YES, ,primary,Lattes, ,367587403
6127,9,102511,RM986 LATTES - MMT34.j,2024,Lattes_Montpellier,compteur permanent,comptage bidirectionnel,3,12,1,19329,18338,646,1408 (8h00 - 9h00),1672 (17h00 - 18h00),19,95,81,du 01/01/2024 au 03/11/2024,307, ,YES, ,primary,Lattes, ,367587403
6126,9,102511,RM986 LATTES - MMT34.j,2024,Montpellier_Lattes,compteur permanent,comptage bidirectionnel,3,12,0,15266,14628,499,1416 (8h00 - 9h00),1144 (17h00 - 18h00),19,95,81,du 01/01/2024 au 03/11/2024,307, ,YES, ,primary,Lattes, ,367587403
8581,1204,102750,CASTRIES. RM26 4005,2024,Sens cumulés,compteur tournant,comptage bidirectionnel,3,7,Z,2526,2324,6,,,,,,du 19/03/2024 au 15/08/2024,149,Route de Baillargues,UNKNOWN, ,tertiary,Castries, ,359162054
