Any,Codi,Carretera,Pk,Tipus estació,Font Dades,Població,Comarca,Definició Tram Origen,Definició Tram Final,PK inici,PK final,Longitud Tram,Classificació tècnica,Classificació funcional,Carrils,IFA,IMD,% Pesants,Velocitat Km / h,Any 1,Latitud,Longitud
2018,57043443,T-704,34.000,Cobertura,STCT,L'Aleixar,El Priorat,"TV-7041, Prades (coll de Capafons)","T-700 / T-701, Prades",33.690,36.948,3.258,CU,C,2,1.00,177,0.01,60.40,2016,41.291298,1.002887
2020,57043443,T-704,34.000,Cobertura,STCT,L'Aleixar,El Priorat,"TV-7041, Prades (coll de Capafons)","T-700 / T-701, Prades",33.690,36.948,3.258,CU,C,2,1.00,177,0.01,60.40,2016,41.291298,1.002887
2021,57043443,T-704,34.000,Cobertura,STCT,L'Aleixar,El Priorat,"TV-7041, Prades (coll de Capafons)","T-700 / T-701, Prades",33.690,36.948,3.258,CU,C,2,1.00,177,0.01,60.40,2016,41.291298,1.002887
2022,57043443,T-704,34.000,Cobertura,STCT,L'Aleixar,El Priorat,"TV-7041, Prades (coll de Capafons)","T-700 / T-701, Prades",33.690,36.948,3.258,CU,C,2,1.00,177,0.01,60.40,2016,41.291298,1.002887
2017,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1782,0.05,86.86,2017,41.635504,1.412756
2018,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1635,0.05,80.58,2018,41.635504,1.412756
2019,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1814,0.11,82.87,2019,41.635504,1.412756
2020,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1814,0.11,82.87,2019,41.635504,1.412756
2021,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1814,0.11,82.87,2019,41.635504,1.412756
2022,90-308,B-100,2.370,Cobertura,STCB,Montmaneu,L'Anoia,"N-II/ B-221, Montmateu (rotonda)","LV-1005, St. Guim de Freixenet (rotonda)",0.000,6.020,6.020,CU,C,2,1.00,1814,0.11,82.87,2019,41.635504,1.412756
